street,streetLabel,namedAfter,namedAfterLabel,namedAfterDescription,genderLabel,birthYear,deathYear,occupationLabel,nationalityLabel
http://www.wikidata.org/entity/Q28533453,calle de Juan de Austria,http://www.wikidata.org/entity/Q157107,Juan de Austria,militar y diplomático español,masculino,1547,1578,condottiero,España
http://www.wikidata.org/entity/Q52153099,calle de Juan de Herrera,http://www.wikidata.org/entity/Q363914,Juan de Herrera,arquitecto español,masculino,1530,1597,arquitecto,España
http://www.wikidata.org/entity/Q52153099,calle de Juan de Herrera,http://www.wikidata.org/entity/Q363914,Juan de Herrera,arquitecto español,masculino,1530,1597,matemático,España
http://www.wikidata.org/entity/Q118644768,calle de Juan de Mariana,http://www.wikidata.org/entity/Q939889,Juan de Mariana,"historiador, teólogo y sacerdote español",masculino,1536,1624,economista,España
http://www.wikidata.org/entity/Q118644768,calle de Juan de Mariana,http://www.wikidata.org/entity/Q939889,Juan de Mariana,"historiador, teólogo y sacerdote español",masculino,1536,1624,economista,España
http://www.wikidata.org/entity/Q118644768,calle de Juan de Mariana,http://www.wikidata.org/entity/Q939889,Juan de Mariana,"historiador, teólogo y sacerdote español",masculino,1536,1624,historiador,España
http://www.wikidata.org/entity/Q118644768,calle de Juan de Mariana,http://www.wikidata.org/entity/Q939889,Juan de Mariana,"historiador, teólogo y sacerdote español",masculino,1536,1624,historiador,España
http://www.wikidata.org/entity/Q118644768,calle de Juan de Mariana,http://www.wikidata.org/entity/Q939889,Juan de Mariana,"historiador, teólogo y sacerdote español",masculino,1536,1624,profesor universitario,España
http://www.wikidata.org/entity/Q118644768,calle de Juan de Mariana,http://www.wikidata.org/entity/Q939889,Juan de Mariana,"historiador, teólogo y sacerdote español",masculino,1536,1624,profesor universitario,España
http://www.wikidata.org/entity/Q113653572,calle de Juan de Mena,http://www.wikidata.org/entity/Q388140,Juan de Mena,poeta español,masculino,1411,1456,escritor,Corona de Castilla
http://www.wikidata.org/entity/Q113653572,calle de Juan de Mena,http://www.wikidata.org/entity/Q388140,Juan de Mena,poeta español,masculino,1411,1456,poeta,Corona de Castilla
http://www.wikidata.org/entity/Q29051496,calle de Juan de Urbieta,http://www.wikidata.org/entity/Q6301337,Juan de Urbieta,militar español,masculino,,1553,militar,España
http://www.wikidata.org/entity/Q118652458,calle de Juan de Vera,http://www.wikidata.org/entity/Q118652607,Juan de Vera,escultor y pintor español del siglo XVI,masculino,,,pintor,
http://www.wikidata.org/entity/Q118652458,calle de Juan de Vera,http://www.wikidata.org/entity/Q118652607,Juan de Vera,escultor y pintor español del siglo XVI,masculino,,,escultor,
http://www.wikidata.org/entity/Q118608664,calle de Juan de la Hoz,http://www.wikidata.org/entity/Q5696400,Juan de la Hoz y Mota,dramaturgo español (1622-1714),masculino,1622,1714,escritor,España
http://www.wikidata.org/entity/Q118608664,calle de Juan de la Hoz,http://www.wikidata.org/entity/Q5696400,Juan de la Hoz y Mota,dramaturgo español (1622-1714),masculino,1622,1714,dramaturgo,España
http://www.wikidata.org/entity/Q27245500,calle de Juan Álvarez Mendizábal,http://www.wikidata.org/entity/Q167743,Juan Álvarez Mendizábal,político español,masculino,1790,1853,militar,España
http://www.wikidata.org/entity/Q27245500,calle de Juan Álvarez Mendizábal,http://www.wikidata.org/entity/Q167743,Juan Álvarez Mendizábal,político español,masculino,1790,1853,político,España
http://www.wikidata.org/entity/Q27245500,calle de Juan Álvarez Mendizábal,http://www.wikidata.org/entity/Q167743,Juan Álvarez Mendizábal,político español,masculino,1790,1853,economista,España
http://www.wikidata.org/entity/Q28045186,calle de Juanelo,http://www.wikidata.org/entity/Q1388187,Juanelo Turriano,ingeniero e inventor italiano naturalizado español,masculino,1501,1585,arquitecto,España
