name,etymology_wikidata_ids,etymology_text,highway_types,osm_way_count
Calle de Francisco de Asís Méndez Casariego,Q20819131,,residential,2
Calle de Francisco de Goya,Q5432,,residential,1
Calle de Francisco de Rojas,Q1442310,,residential,1
Calle de Francos Rodríguez,Q5846831,,tertiary,15
Calle de Fray Bernardino Sahagún,Q379972,,residential,5
Calle de Fresno de Cantespino,Q1939147,,pedestrian;residential;service,7
Calle de Frida Kahlo,Q5588,,service,3
Calle de Frigiliana,Q944137,,residential,2
Calle de Frómista,Q988834,,pedestrian;residential,5
Calle de Fuencarral,Q5740840,,pedestrian;residential;tertiary,16
Calle de Fuenlabrada,Q54902,,residential,2
Calle de Fuenterrabía,Q492312,,residential,1
Calle de Fuentespina,Q1633201,,residential,1
Calle de Furelos,Q632003,,residential,1
Calle de Fúcar,Q20908825,,residential,1
Calle de Gabriela Mistral,Q80871,,residential;tertiary,16
Calle de Gainza,Q1633877,,residential;service,7
Calle de Gales,Q25,,construction;residential,5
Calle de Galileo,Q307,,living_street;residential,3
Calle de Gargantilla,Q1643602,,residential,2
Calle de Gaztambide,Q3177239,,residential,1
Calle de Ginzo de Limia,Q918637,,living_street;residential;secondary;service,32
Calle de Gonzalo Torrente Ballester,Q500546,,residential,2
Calle de Gonzalo de Berceo,Q1156048,,residential,1
Calle de Goya,Q5432,,primary;residential,21
Calle de Granada,Q8810,,residential,2
Calle de Grañón,Q177714,,residential,1
Calle de Guadalajara,Q11953,,residential,6
Calle de Guetaria,Q849330,,residential,8
Calle de Guillermo Rovirosa,Q5408637,,residential,1
Calle de Guillermo de Osma,Q9001374,,pedestrian;tertiary,6
Calle de Guillén de Castro,Q457209,,residential,1
Calle de Gutierre de Cetina,Q2708001,,residential,4
Calle de Gutiérrez Solana,Q428928,,residential,2
Calle de Guzmán el Bueno,Q4734497,,tertiary,2
Calle de Génova,Q24294474,,primary,6
Calle de Hartzenbusch,Q1377747,,residential,1
Calle de Helsinki,Q1757,,residential,1
Calle de Henri Dunant,Q12091,,residential,2
Calle de Hermosilla,Q28052826;Q6292949,,residential,7
Calle de Hilario Peñasco,Q16575056,,residential,3
Calle de Hilarión Eslava,Q3818102,,residential,1
Calle de Honduras,Q783,,residential,6
Calle de Hospital de Órbigo,Q848293,,residential,1
Calle de Huesca,Q11967,,residential,4
Calle de Ibiza,Q52631,,residential,9
Calle de Ichaso,Q1110918,,residential,1
Calle de Ignacio Aldecoa,Q1657241,,residential,1
Calle de Illora,Q291752,,residential,4
Calle de Imperio Argentina,Q468806,,living_street;residential,4
Calle de Infanta María,Q3847598,,residential,2
Calle de Irún,Q200201,,residential,6
Calle de Isaac Peral,Q545065,,residential,16
Calle de Isabel Clara Eugenia,Q158256,,residential,16
Calle de Isabel La Católica,Q45859,,residential,2
Calle de Isabel Tintero,Q43673839,,residential,1
Calle de Isabel de Valois,Q176041,,residential,5
Calle de Isidoro Álvarez Álvarez,Q6449549,,residential,2
Calle de Italia,Q108019,,residential,1
Calle de Jacinto Verdaguer,Q379290,,residential,2
Calle de Jaime I El Conquistador,Q212052,,tertiary,8
Calle de Jemenuño,Q5929139,,residential;steps,2
Calle de Jenner,Q40852,,residential,1
Calle de Jerónima Llorente,Q5929439,,residential,2
Calle de Jesús Fernández Santos,Q3753961,,residential,1
Calle de Joaquín Costa,Q965602,,primary;residential;tertiary_link,34
Calle de Jorge Juan,Q2085725,,tertiary,7
Calle de José Abascal,Q9013476,,primary,9
Calle de José Antonio Armona,Q5547499,,primary_link;residential,5
Calle de José Donoso,Q439761,,residential,1
Calle de José Feliú Codina,Q2883060,,residential,2
Calle de José Gutiérrez Abascal,Q17148207,,residential,2
Calle de José María Rodero,Q3394136,,residential,2
Calle de José María de Pereda,Q4115628,,residential,4
Calle de José Ortega y Gasset,Q153020,,residential;tertiary,22
Calle de José Tamayo,Q3774880,,residential,1
Calle de José Vasconcelos,Q1091141,,residential,4
Calle de Jovellanos,Q50227806,,living_street,1
Calle de Juan Antonio Bardem,Q542529,,residential,1
Calle de Juan Boscán,Q375056,,residential,1
Calle de Juan Bravo,Q2742152,,secondary;tertiary,13
Calle de Juan Carreño de Miranda,Q833224,,residential,1
Calle de Juan Esplandiú,Q43218728,,residential,20
Calle de Juan Martín El Empecinado,Q794779,,residential,1
Calle de Juan Pantoja,Q1380081,,living_street,1
Calle de Juan Ramón Jiménez,Q131318,,residential,3
Calle de Juan de Austria,Q157107,,residential,1
Calle de Juan de Mariana,Q939889,,residential,4
Calle de Juan de Urbieta,Q6301337,,residential,4
Calle de Juan Álvarez Mendizábal,Q167743,,residential,4
Calle de Juana Doña,Q2876086,,residential,1
Calle de Juanelo,Q28045186,,living_street,2
Calle de Julio Camba,Q593405,,construction;tertiary,3
Calle de Julio Cano Lasso,Q3391665,,residential,10
Calle de Julio Casares,Q680431,,residential,3
Calle de Julián Gayarre,Q1366357,,construction;primary;residential,8
Calle de Játiva,Q738013,,residential,3
Calle de La Adrada,Q1606366,,residential,3
Calle de La Bañeza,Q1442670,,residential;service,6
Calle de La Cabrera,Q509056,,residential,1
Calle de La Cenicienta,Q191753,,residential,2
Calle de La Coruña,Q8757,,residential,2
Calle de La Diligencia,Q50714,,residential,5
Calle de La Granja de San Ildefonso,Q1125500,,residential,12
Calle de La Mancha,Q844209,,residential,4
Calle de La Pueblanueva,Q1628882,,residential,5
Calle de La Reina de África,Q384397,,pedestrian,2
Calle de La Violetera,Q15270970,,residential,3
Calle de Lagasca,Q891966,,residential,3
Calle de Lanjarón,Q582995,,residential,1
Calle de Lavapiés,Q19969082,,living_street,2
Calle de Lecumberri,Q1773037,,residential,1
Calle de Ledesma,Q965028,,residential,3
Calle de Leganitos,Q5740845,,residential,3
Calle de Leiza,Q1648056,,pedestrian;residential,2
Calle de Leonor de Austria,Q156045,,residential,2
Calle de Lepanto,Q165425,,living_street;service,2
Calle de Lesaca,Q1647457,,pedestrian;residential,3
Calle de León Felipe,Q2076131,,residential,6
Calle de Ligonde,Q905287,,residential,1
Calle de Linneo,Q1043,,residential;service,2
Calle de Lisboa,Q597,,residential,1
Calle de Lituania,Q37,,residential;service,2
Calle de Liverpool,Q24826,,residential,2
Calle de Lodosa,Q984882,,residential,1
Calle de Loja,Q332989,,residential,1
Calle de Lola Membrives,Q5978470,,residential,1
Calle de Lombia,Q5950703,,living_street;residential,2
Calle de Londres,Q84,,residential,1
Calle de Longares,Q1650702,,residential,4
Calle de Lope de Rueda,Q52206,,residential,1
Calle de Lope de Vega,Q19800989,,living_street,3
Calle de Lorca,Q47571,,residential,2
Calle de Loreto Prado y Enrique Chicote,Q5979168,,pedestrian,1
Calle de Los Alpes,Q1286,,residential,1
Calle de Los Madrazo,Q29345542,,residential,2
Calle de Los Santos Inocentes,Q1630061,,residential,4
Calle de Lucano,Q188646,,residential;service,4
Calle de Luchana,Q3310734,,tertiary,9
Calle de Lucio del Valle,Q5982356,,residential,1
Calle de Luis Camoens,Q590,,residential,2
Calle de Luis Jiménez de Asúa,Q3311318,,residential,2
Calle de Luis Ocaña,Q358336,,residential;secondary,8
Calle de Luis Vélez de Guevara,Q1305828,,residential,1
Calle de Lumbrales,Q1639439,,residential,1
Calle de Lérida,Q15090,,residential,9
Calle de López de Hoyos,Q3072117,,residential;tertiary;tertiary_link,25
Calle de Madrid,Q2807,,pedestrian,5
Calle de Magallanes,Q1496,,residential,7
Calle de Maldonado,Q2742352,,residential,7
Calle de Malmoe,Q2211,,residential,3
Calle de Malpica de Tajo,Q1606460,,residential,3
Calle de Manuel Azaña,Q203708,,motorway,12
Calle de Manuel Chaves Nogales,Q3031671,,residential,2
Calle de Manuel Cortina,Q5992686,,footway;residential,3
Calle de Manuel Garrido,Q5993110,,residential,3
Calle de Manuel González Longoria,Q107178446,,residential,1
Calle de Manuel Luna,Q5993525,,residential,3
Calle de Manuel María Arrillaga,Q110795001,,residential,6
Calle de Manuel Montilla,Q100233965,,residential,2
Calle de Marceliano Santa María,Q5995562,,residential,1
Calle de Margarita de Parma,Q307815,,residential,2
Calle de Mariano Benlliure,Q2402329,,residential,1
"Calle de Mario Moreno ""Cantinflas""",Q195371,,construction;residential,5
Calle de Marsella,Q23482,,residential,2
Calle de Martín de Vargas,Q2875927,,pedestrian;residential,5
Calle de Martín de los Heros,Q9029845,,living_street;residential,7
Calle de María Blanchard,Q443779,,residential,1
Calle de María Moliner,Q465162,,residential,1
Calle de María Teresa León,Q2759438,,residential,1
Calle de María Tudor,Q82674,,residential,5
Calle de María Zayas,Q2905689,,residential,1
Calle de María de Molina,Q266025,,primary,30
Calle de María de Portugal,Q230894,,residential,4
Calle de Matamorosa,Q6005712,,residential,4
Calle de Mateo Inurria,Q9030461,,secondary,8
Calle de Matilde Landa,Q16605380,,residential,9
Calle de Mauricio Legendre,Q9030662,,residential;tertiary,16
Calle de Mauricio Ravel,Q1178,,residential,2
Calle de Mazarredo,Q195797,,residential,1
Calle de Mazaterón,Q5805098,,residential,2
Calle de Melchor Fernández Almagro,Q3854180,,residential;service,8
Calle de Melchor Rodríguez,Q1407986,,living_street;steps,3
Calle de Melide,Q912514,,residential,1
Calle de Melilla,Q5831,,footway;pedestrian;residential,8
Calle de Meléndez Valdés,Q2415144,,residential,6
Calle de Menorca,Q52636,,residential,3
Calle de Mequinenza,Q837051,,residential,6
Calle de Mesonero Romanos,Q1545524,,living_street;residential,4
Calle de Miguel Servet,Q52158635,,residential,5
Calle de Miguel Ángel,Q5592,,residential;tertiary,7
Calle de Miguel Ángel Asturias,Q75603,,residential,1
Calle de Minerva,Q126916,,residential,11
Calle de Mira el Sol,Q25265930,,living_street;residential,4
Calle de Miranda de Arga,Q1641891,,residential;service,7
Calle de Modesto Lafuente,Q627987,,residential,2
Calle de Mogambo,Q1122534,,residential,4
Calle de Montpellier,Q6441,,pedestrian,1
Calle de Montánchez,Q1630109,,residential,3
Calle de Monóvar,Q1645615,,residential,1
Calle de Moratalla,Q987450,,residential,1
Calle de Moratín,Q24944024,,residential,2
Calle de Moreno Nieto,Q9014607,,pedestrian;residential,2
Calle de Moscú,Q649,,residential,1
Calle de Motril,Q210093,,residential,1
Calle de Mozart,Q254,,residential,8
Calle de Murcia,Q12225,,pedestrian;residential,3
Calle de Murillo,Q192062,,living_street,1
Calle de Muñopedro,Q1948833,,residential,1
Calle de Máiquez,Q5921222,,residential,2
Calle de Málaga,Q8851,,residential,1
Calle de Mánchester,Q18125,,residential,2
Calle de Méndez Núñez,Q3394337,,residential,4
Calle de Méndez Álvaro,Q5553104,,primary;primary_link;residential;secondary;service;tertiary;tertiary_link,80
Calle de Mónaco,Q235,,residential,1
Calle de Nantes,Q12191,,residential,1
Calle de Narciso Serra,Q15839216,,residential,2
Calle de Narváez,Q185551;Q28936837,,tertiary,16
Calle de Navamures,Q6038953,,residential,1
Calle de Navascués,Q776592,,residential,2
Calle de Nerja,Q13149,,residential,1
Calle de Nicasio Gallego,Q720492,,residential,2
Calle de Nicolás Salmerón,Q742660,,residential,7
Calle de Normandía,Q15878,,pedestrian,1
Calle de Noruega,Q20,,pedestrian,1
Calle de Novecento,Q124697,,footway;pedestrian;residential,5
Calle de Noviciado,Q25212055,,residential,1
Calle de Nueva Caledonia,Q33788,,residential,1
Calle de Numancia,Q623407,,residential,9
Calle de Núñez Morgado,Q96182849,,residential,1
Calle de Núñez de Balboa,Q19080,,residential,3
Calle de O'Donnell,Q454265,,primary;residential,22
Calle de Obanos,Q984867,,residential,4
Calle de Octavio Paz,Q46739,,residential,4
Calle de Oliana,Q1644356,,residential,1
Calle de Olite,Q837062,,residential,2
Calle de Ordicia,Q672483,,residential,2
Calle de Oreja,Q598020,,pedestrian;residential,4
Calle de Oslo,Q585,,residential,2
Calle de Oteiza,Q682821,,residential,2
Calle de Oudrid,Q2679032,,residential,1
Calle de Oña,Q1609760,,living_street;residential,67
Calle de Pablo Gargallo,Q456991,,residential,1
Calle de Pablo Luna,Q2336713,,pedestrian;residential;steps,5
Calle de Padilla,Q1339628,,residential,5
Calle de Padul,Q605397,,residential,1
Calle de Palafox,Q332481,,living_street;residential,2
Calle de Palas de Rey,Q842216,,residential,7
Calle de Palos de la Frontera,Q622030,,secondary,4
Calle de Pamplona,Q10282,,residential,4
Calle de Paradinas,Q6060782,,residential,1
Calle de Paredes de Nava,Q919652,,residential,6
Calle de Pastora Imperio,Q3742020,,residential,1
Calle de Pavía,Q63468,,living_street;service,2
Calle de Pedro Antonio de Alarcón,Q313553,,residential,1
Calle de Pedro Muñoz Seca,Q3322907,,residential,2
Calle de Pedro de Muguruza,Q3374095,,residential;service,2
Calle de Pelayo,Q14655,,living_street,1
Calle de Pepe Isbert,Q965469,,residential,2
Calle de Periana,Q732206,,residential,3
Calle de Peña Labra,Q8538642,,residential,1
Calle de Peña de Francia,Q2438981,,living_street,1
Calle de Peñaranda de Bracamonte,Q679766,,residential;secondary,18
Calle de Pico Veleta,Q1420262,,residential,2
Calle de Pilar Millán Astray,Q18224305,,residential,1
Calle de Pitágoras,Q10261,,residential,5
Calle de Pizarro,Q44741,,living_street,1
Calle de Población de Campos,Q986562,,residential,1
Calle de Ponferrada,Q12164,,residential;service,7
Calle de Ponzano,Q1588564,,residential,2
Calle de Portomarín,Q849319,,residential,21
Calle de Poza de la Sal,Q1642806,,residential,10
Calle de Prim,Q379787,,residential,2
Calle de Princesa de Éboli,Q457676,,residential,10
Calle de Puentedey,Q18689543,,living_street;residential,4
Calle de Puentelarra,Q2744363,,residential,4
Calle de Puerto Rico,Q1183,,residential,3
Calle de Puerto de Somport,Q389859,,residential;tertiary,5
Calle de Purchena,Q1445232,,residential,6
Calle de Pérez Galdós,Q189869,,pedestrian,1
Calle de Pío Baroja,Q220980,,residential,7
Calle de Quevedo,Q19798936,,living_street,1
Calle de Quijorna,Q1915141,,residential,1
Calle de Quintanadueñas,Q6095113,,residential,3
Calle de Rabanal del Camino,Q657882,,residential,1
Calle de Rafael de León,Q6098121,,residential,2
Calle de Rafael de Riego,Q203036,,residential;service,5
Calle de Rafael de la Hoz,Q3394165,,residential,4
Calle de Raimundo Fernández Villaverde,Q959509,,primary;residential;tertiary,31
Calle de Raimundo Lulio,Q193660,,living_street;residential,2
Calle de Ramírez de Prado,Q1870229,,secondary,7
Calle de Ramón Areces,Q3329044,,residential;service;tertiary,5
Calle de Redecilla del Camino,Q1012965,,residential,1
Calle de Reinosa,Q671326,,residential,1
Calle de Ribadumia,Q1631321,,residential,1
Calle de Ricardo Goizueta,Q23778347,,residential,1
Calle de Rochapea,Q2944629,,residential,1
Calle de Rodrigo de Triana,Q552774,,residential,3
Calle de Rodríguez Ayuso,Q892696,,residential,1
Calle de Rodríguez Jaén,Q11705060,,residential,3
Calle de Rodríguez San Pedro,Q3821801,,residential,5
Calle de Roma,Q220,,residential,1
Calle de Romero Girón,Q6161322,,residential,1
Calle de Romero Robledo,Q2370852,,residential,3
Calle de Rosario Pino,Q6112403,,footway;residential;tertiary,8
Calle de Rumanía,Q218,,residential,3
Calle de Rusia,Q159,,residential,1
Calle de Ruy González de Clavijo,Q725872,,residential,1
Calle de Ríos Rosas,Q27267331,,primary;tertiary,8
Calle de Saavedra Fajardo,Q2715411;Q2807,,residential;tertiary,7
Calle de Sabrina,Q152493,,residential,3
Calle de Sagasta,Q379779,,primary;residential,8
Calle de Sajonia,Q1202,,residential,2
Calle de Salamanca,Q15695,,residential;service,3
Calle de Salas Barbadillo,Q3893270,,residential,5
Calle de Salobreña,Q427330,,footway;residential;steps,5
Calle de Salustiano Olózaga,Q959518,,residential,1
Calle de Samaria,Q1294629,,residential,3
Calle de San Bernardo,Q188411;Q5740864,,residential;tertiary,13
Calle de San Cosme y San Damián,Q76486,,residential,1
Calle de San Crispín,Q1140213,,residential,1
Calle de San Eloy,Q360798,,residential,2
Calle de San Eulogio,Q2358257,,residential,1
Calle de San Felipe Neri,Q217791,,pedestrian;tertiary,2
Calle de San Hilario,Q44344,,residential,4
Calle de San Isidoro de Sevilla,Q166876,,residential,2
Calle de San Jorge,Q48438,,residential,1
Calle de San Juan de Ortega,Q3471530,,residential,6
Calle de San Juan de la Salle,Q312758,,residential,1
Calle de San Julián del Camino,Q2220159,,residential,1
Calle de San Marcos,Q31966,,residential,3
Calle de San Marino,Q238,,residential,2
Calle de San Miguel del Camino,Q2219827,,residential,1
Calle de San Millán de la Cogolla,Q842220,,residential,1
Calle de San Narciso,Q828609,,residential,3
Calle de San Onofre,Q464959,,pedestrian,2
Calle de San Pedro Mártir,Q238744,,living_street,2
Calle de San Pedro de Cardeña,Q1024723,,residential,6
Calle de San Petersburgo,Q656,,residential,1
Calle de San Quintín,Q2066129,,living_street,2
Calle de San Remigio,Q367208,,residential,1
Calle de San Rosendo,Q2659457,,residential,1
Calle de San Sebastián,Q24940406,,living_street,1
Calle de San Telesforo,Q81647,,residential,3
Calle de San Valentín,Q192151,,residential,1
Calle de San Vicente Ferrer,Q317131,,living_street;residential,2
Calle de Sangarcía,Q1938456,,footway;pedestrian;residential;steps,4
Calle de Sanlúcar de Barrameda,Q210887,,residential,1
Calle de Santa Casilda,Q1236283,,residential,1
Calle de Santa Elena,Q170164,,residential,1
Calle de Santa Engracia,Q18246552;Q26728109,,secondary;tertiary,18
Calle de Santa Francisca Javier Cabrini,Q238983,,residential,1
Calle de Santa Genoveva,Q235863,,residential;tertiary,5
Calle de Santa Isabel,Q2882669,,living_street;pedestrian;residential;steps,7
Calle de Santa María Micaela,Q440077,,footway;pedestrian,3
Calle de Santa María la Real de Nieva,Q139988,,residential,1
Calle de Santa Prisca,Q426200,,residential,11
Calle de Santa Rafaela María del Sagrado Corazón,Q456796,,footway;residential,4
Calle de Santa Tecla,Q51885,,residential,1
Calle de Santiago Bernabéu,Q223156,,residential,3
Calle de Santiago El Verde,Q5861697,,living_street,1
Calle de Santiago Rusiñol,Q366930,,residential,1
Calle de Santurce,Q917886,,pedestrian;residential,4
Calle de Sarria,Q174833,,footway;pedestrian;residential;service,12
Calle de Sauceda,Q6122139,,residential,11
Calle de Sebastián Elcano,Q201510,,residential,3
Calle de Segovia,Q15684;Q2807,,primary;primary_link;service;tertiary,15
Calle de Serranillos del Valle,Q1772168,,residential,2
Calle de Serrano,Q515741,,primary;residential;secondary;tertiary,33
Calle de Sevilla,Q20908843,,tertiary,3
Calle de Siena,Q2751,,residential,2
Calle de Sierra Elvira,Q5685282,,residential,1
Calle de Sierra de Atapuerca,Q48782131,,residential,15
Calle de Silvina Ocampo,Q442829,,pedestrian;service,2
Calle de Sinesio Delgado,Q6129194,,primary;residential,39
Calle de Siracusa,Q13670,,residential,1
Calle de Sofía,Q472,,residential,12
Calle de Sombrerete,Q20021619,,living_street;pedestrian,2
Calle de Somontín,Q1628474,,residential,3
Calle de Suecia,Q34,,residential;tertiary,9
Calle de Suiza,Q39,,residential,1
Calle de Sánchez Barcáiztegui,Q9093474,,residential,1
Calle de Talamanca del Jarama,Q1641021,,residential,2
Calle de Teba,Q1630260,,residential,1
Calle de Tenerife,Q40846,,living_street;pedestrian;residential,5
Calle de Teresita González Quevedo,Q20040146,,pedestrian,2
Calle de Tetuán,Q5740881,,living_street;pedestrian;residential,4
Calle de Timoteo Domingo,Q55837075,,residential,1
Calle de Timoteo Pérez Rubio,Q6147067,,residential,5
Calle de Toledo,Q5740883,,pedestrian;primary;residential;tertiary,24
Calle de Tolosa,Q497801,,residential;service,5
Calle de Tomás Bretón,Q722623,,residential,6
Calle de Topete,Q1621912,,living_street,1
Calle de Torreperogil,Q1642300,,residential,1
Calle de Torrox,Q13150,,residential,2
Calle de Totana,Q338174,,residential,2
Calle de Trafalgar,Q171416,,tertiary,6
Calle de Triacastela,Q636874,,residential,1
Calle de Tribulete,Q20021648,,living_street,2
Calle de Troya,Q22647,,residential,1
Calle de Turmalina,Q179911,,residential,2
Calle de Tíscar,Q6154577,,residential,3
Calle de Uruguay,Q77,,residential;service,5
Calle de Valcarlos,Q524479,,residential,39
Calle de Valderribas,Q29051503,,residential,9
Calle de Valderrobres,Q1641285,,residential,2
Calle de Valencia,Q26810468,,residential,3
Calle de Vallehermoso,Q6122685,,tertiary,4
Calle de Valonia,Q231,,pedestrian,1
Calle de Velarde,Q718282,,living_street,2
Calle de Velilla,Q9019034,,living_street,1
Calle de Velázquez,Q297,,secondary;secondary_link;tertiary,19
Calle de Ventura Rodríguez,Q2565889,,primary,3
Calle de Versalles,Q621,,residential,4
Calle de Vicente Aleixandre,Q134644,,residential,1
Calle de Vicente Blasco Ibáñez,Q219646,,residential,7
Calle de Vicente Espinel,Q520504,,residential,1
Calle de Victoria Kent,Q2743181,,secondary;tertiary,9
Calle de Vilar de Donas,Q18376057,,residential,3
Calle de Villabona,Q672876,,residential,1
Calle de Villalar,Q2890338,,residential,1
Calle de Villaluenga de la Sagra,Q584333,,footway;pedestrian;residential,5
Calle de Villamanta,Q1915133,,residential,1
Calle de Villamayor de Santiago,Q1750918,,pedestrian;residential,4
Calle de Villasilos,Q17745924,,residential,4
Calle de Villava,Q600671,,residential,4
Calle de Villoslada,Q7931124,,footway;residential,3
Calle de Villuercas,Q2996063,,residential,2
Calle de Viriato,Q331889,,residential,3
Calle de Vital Aza,Q7936725,,residential,3
Calle de Vitruvio,Q47163,,residential,10
Calle de Vizcaya,Q93366,,residential,1
Calle de Volver a Empezar,Q1352930,,residential,3
Calle de Vázquez de Mella,Q3324630,,residential,1
Calle de Vélez Rubio,Q1110343,,residential,7
Calle de Víctor de la Serna,Q6165796,,living_street;residential,4
Calle de Wad-Ras,Q2890359,,residential,2
Calle de Ybarra,Q1618296,,residential,2
Calle de Zagreb,Q1435,,residential,1
Calle de Zalacaín,Q11705460,,residential,1
Calle de Zamora,Q15696,,residential,1
Calle de Zazuar,Q1614622,,residential,1
Calle de Zorrilla,Q29352014,,residential,2
Calle de Zurbano,Q3295691,,residential,4
Calle de Zurbarán,Q209615,,residential,2
Calle de Zurich,Q72,,residential,1
Calle de Zurita,Q29051010,,living_street;residential,2
Calle de la Alameda,Q27224202,,residential,4
Calle de la Antracita,Q182458,,residential,3
Calle de la Arganzuela,Q16749876,,residential,3
Calle de la Batalla del Salado,Q1792643,,residential,4
Calle de la Cabeza,Q20908816,,living_street,3
Calle de la Cava Alta,Q28051271,,residential,4
Calle de la Cava Baja,Q5740900,,residential,1
Calle de la Cava de San Miguel,Q28051254,,residential,2
Calle de la Colegiata,Q24702367,,tertiary,3
Calle de la Concepción Jerónima,Q21072221,,tertiary,9
Calle de la Cordillera de Cuera,Q5196829,,living_street;residential,3
Calle de la Costa Azul,Q182822,,pedestrian,1
Calle de la Cruz,Q16659214,,residential,4
Calle de la Dalia,Q130918,,residential,1
Calle de la Escuela de Vallecas,Q1153335,,residential,2
Calle de la Esfinge,Q151480,,residential,10
Calle de la Espada,Q28006139,,living_street,2
Calle de la Española,Q25277,,residential,3
Calle de la Estrella Naos,Q13200,,residential,6
Calle de la Filósofa Simone Weil,Q157309,,residential,1
Calle de la Flecha,Q23996014,,pedestrian,2
Calle de la Fuente del Berro,Q5643968,,residential,1
Calle de la Fé,Q26810252,,living_street,2
Calle de la Giralda,Q834479,,residential,1
Calle de la Huerta del Bayo,Q42908465,,living_street,1
Calle de la Ilíada,Q8275,,primary;residential,5
Calle de la Infanta Mercedes,Q218879,,tertiary,4
Calle de la Isla de Alegranza,Q580302,,footway;living_street;residential,3
Calle de la Isla de Long,Q577808,,residential,1
Calle de la Isla del Hierro,Q1036287,,residential,1
Calle de la Lagartera,Q1631982,,footway;residential,4
Calle de la Lechuga,Q24647167,,residential,1
Calle de la Madre de Dios,Q849693,,residential,1
Calle de la Magdalena,Q17181780,,tertiary,4
Calle de la Montera,Q5740928,,living_street;pedestrian,5
Calle de la Paloma,Q20908836,,footway;pedestrian;residential,4
Calle de la Primavera,Q28662708,,residential,1
Calle de la Princesa,Q5740935,,footway;primary;residential;secondary_link;trunk,42
Calle de la Princesa de Kapurtala,Q3394222,,pedestrian;service,3
Calle de la Provenza,Q101081,,residential,2
Calle de la Raya,,Juego popular de la raya,residential,1
Calle de la Riviera,Q917448,,residential,3
Calle de la Serena,Q2472448,,footway;residential,11
Calle de la Sierra de La Sagra,Q8538308,,residential,2
Calle de la Sierra de Molina,Q23994773,,living_street;residential,2
Calle de la Sílfide,Q853329,,residential,1
Calle de la Tuya,Q147417,,residential,1
Calle de la Virgen de Lluc,Q9094348,,residential;tertiary,2
Calle de la Virgen de las Viñas,Q5560113,,residential,2
Calle de las Adelfas,Q155833,,residential,1
Calle de las Alpujarras,Q661868,,residential,1
Calle de las Arizónicas,Q670040,,residential,1
Calle de las Canarias,Q5813,,residential,8
Calle de las Coníferas,Q132825,,residential,4
Calle de las Huertas,Q2364997,,living_street;pedestrian,8
Calle de las Islas Almirantes,Q119230,,residential,3
Calle de las Islas Marianas,Q153732,,residential,1
Calle de las Islas de Cabo Verde,Q1011,,residential,4
Calle de las Postas,Q28051324,,pedestrian,3
Calle de los Cabestreros,Q20015474,,living_street,1
Calle de los Cuchilleros,Q29005894,,pedestrian,1
Calle de los Estudios,Q52158093,,residential,1
Calle de los Hermanos García Noblejas,Q1664711;Q5740959,,primary;residential,68
Calle de los Hermanos Pinzón,Q3388890,,residential;tertiary,4
Calle de los Hermanos Álvarez Quintero,Q2879473,,living_street;residential,2
Calle de los Jardines,Q28052611,,living_street;pedestrian,2
Calle de los Juglares,Q2429735,,footway;residential,2
Calle de los Milaneses,Q30788116,,living_street,1
Calle de los Olivos,Q37083,,residential,2
Calle de los Padres Dominicos,Q131479,,residential,1
Calle de los Pedroches,Q1117207,,residential,2
Calle de los Poetas,Q49757,,residential,1
Calle de los Señores de Luzón,Q24658361,,residential,1
Calle de los Vascos,Q126756,,primary;residential,3
Calle de Álava,Q81801,,residential,1
Calle de Álvarez Gato,Q20908815,,pedestrian,1
Calle de Écija,Q273413,,residential,1
Calle de Órgiva,Q293130,,residential,2
Calle del Alcalde Aristizábal Manchón,Q5943711,,residential,1
Calle del Alcalde Henche de la Plata,Q9065805,,residential,2
Calle del Alcalde Redondo Aceña,Q3774293,,residential,2
Calle del Alcalde Sáinz de Baranda,Q6070082,,residential;tertiary,13
Calle del Alcalde Álvarez de Villaamil,Q11703758,,residential,2
Calle del Alerce,Q25618,,residential,4
Calle del Aloe Vera,Q80079,,residential,2
Calle del Archiduque Alberto,Q311452,,residential,1
Calle del Arcipreste de Hita,Q434597,,residential,3
Calle del Arenal,Q5740980,,pedestrian,5
Calle del Arte Abstracto,Q128115,,residential,3
Calle del Arte Conceptual,Q203209,,residential,4
Calle del Arte Expresionista,Q80113,,residential,1
Calle del Arte Figurativo,Q1622217,,residential,6
Calle del Arte Minimal,Q173436,,residential,6
Calle del Ave María,Q27031791,,living_street,2
Calle del Barquillo,Q5740983,,residential,1
Calle del Bronce,Q34095,,residential,5
Calle del Butrón,Q12255566,,residential,8
Calle del Caballero de Gracia,Q5740985,,living_street;pedestrian;residential,4
Calle del Cabo Machichaco,Q669894,,residential,2
Calle del Canal de la Mancha,Q34640,,residential,1
Calle del Canal del Bósforo,Q35958,,residential;service,5
Calle del Cardenal Belluga,Q281528,,residential,2
Calle del Cardenal Cisneros,Q342392,,residential,3
Calle del Cardenal Marcelo Spínola,Q710764,,residential,10
Calle del Cardenal Vicente Enrique y Tarancón,Q553172,,residential,3
Calle del Carmen,Q5740988,,pedestrian,1
Calle del Carnero,Q27050844,,residential,1
Calle del Casino,Q26248358,,living_street,2
Calle del Cañón del Río Lobos,Q3385422,,footway;residential,2
Calle del Cid,Q43958,,pedestrian;residential,2
Calle del Cobre,Q753,,residential,3
Calle del Condado de Treviño,Q946251,,residential,10
Calle del Conde Duque,Q27031730,,residential,2
Calle del Conde de Peñalver,Q6042643,,tertiary,8
